bigram,n,total_sentiment
strong attacks,23,negative
super limited,23,negative
support greedy,23,negative
tank damage,23,negative
terrible glitches,23,negative
terrible stuttering,23,negative
terribly confusing,23,negative
terribly terribly,23,negative
tough break,23,negative
utterly destroy,23,negative
worthless garbage,23,negative
angry rant,22,negative
bad excuse,22,negative
bad latency,22,negative
bloated mess,22,negative
boring garbage,22,negative
breaking lag,22,negative
broken terrible,22,negative
buggy clunky,22,negative
bugs crash,22,negative
cheap difficulty,22,negative
cheat hack,22,negative
cons dull,22,negative
cons stupid,22,negative
cons weird,22,negative
crazy expensive,22,negative
damn joke,22,negative
death death,22,negative
decent hack,22,negative
effectively ruined,22,negative
enjoy mindless,22,negative
fairly tedious,22,negative
freaking joke,22,negative
freaking sucks,22,negative
fun addicting,22,negative
funny cons,22,negative
hard boring,22,negative
horrible plot,22,negative
hot damn,22,negative
humor falls,22,negative
incredible boring,22,negative
incredibly complex,22,negative
incredibly infuriating,22,negative
incredibly terrible,22,negative
instantly fail,22,negative
kill attacks,22,negative
killing bug,22,negative
lag crash,22,negative
lagging issues,22,negative
love challenging,22,negative
love difficult,22,negative
outstanding issues,22,negative
overwhelmingly bad,22,negative
painfully bland,22,negative
painfully tedious,22,negative
poor excuses,22,negative
powerful attacks,22,negative
progress impossible,22,negative
prohibitively expensive,22,negative
randomly fall,22,negative
realistic zombie,22,negative
ridiculous grind,22,negative
stupid annoying,22,negative
stupid bad,22,negative
super dissapointed,22,negative
super ugly,22,negative
super zombie,22,negative
terrible issues,22,negative
tough enemy,22,negative
ugly bad,22,negative
ugly ugly,22,negative
unbelievably annoying,22,negative
unstable crashes,22,negative
utterly confusing,22,negative
utterly disgusting,22,negative
weak enemy,22,negative
win cons,22,negative
awful buggy,21,negative
awful excuse,21,negative
bad sadly,21,negative
bad slow,21,negative
boring dumb,21,negative
broken poorly,21,negative
broken waste,21,negative
bugs awful,21,negative
bugs enemies,21,negative
cheats hacks,21,negative
confusing boring,21,negative
cons bland,21,negative
crashed randomly,21,negative
crashes lag,21,negative
critical failure,21,negative
critical issue,21,negative
damn bug,21,negative
damn lag,21,negative
difficulty hard,21,negative
dull enemies,21,negative
dull lifeless,21,negative
effectively dead,21,negative
enemies explode,21,negative
enjoy losing,21,negative
fairly pointless,21,negative
fairly poorly,21,negative
freaking mess,21,negative
free zombie,21,negative
frustrating lack,21,negative
frustrating repetitive,21,negative
greedy lying,21,negative
hard difficulties,21,negative
incomplete buggy,21,negative
incredibly sad,21,negative
instantly fell,21,negative
kill loot,21,negative
laughably terrible,21,negative
legendary loot,21,negative
love rogue,21,negative
mindless drones,21,negative
negative criticism,21,negative
pretty dope,21,negative
pretty freaking,21,negative
pretty mindless,21,negative
promises broken,21,negative
randomly explode,21,negative
repetitive mess,21,negative
severe disappointment,21,negative
sore loser,21,negative
stupid idiots,21,negative
stupidly broken,21,negative
stutter issues,21,negative
sucker punch,21,negative
super lazy,21,negative
super sad,21,negative
terrible clunky,21,negative
terrible rip,21,negative
terrible worse,21,negative
utterly dead,21,negative
utterly tedious,21,negative
weird difficulty,21,negative
worst bugs,21,negative
zombie attack,21,negative
annoying chore,20,negative
annoying crap,20,negative
arbitrary difficulty,20,negative
bad crashes,20,negative
bloody hard,20,negative
bloody terrible,20,negative
boom crash,20,negative
boring dungeons,20,negative
boring stale,20,negative
bugs cons,20,negative
coherent plot,20,negative
confusing plot,20,negative
cons confusing,20,negative
cons difficulty,20,negative
cons toxic,20,negative
cool enemies,20,negative
crash dump,20,negative
crashing mess,20,negative
crippling depression,20,negative
crushing disappointment,20,negative
damage attack,20,negative
damn dark,20,negative
damn terrible,20,negative
dangerous enemies,20,negative
dead zombie,20,negative
defeated enemies,20,negative
dull slow,20,negative
enemies killed,20,negative
enemies suck,20,negative
entertaining cons,20,negative
failed badly,20,negative
fails badly,20,negative
fairly lackluster,20,negative
fast break,20,negative
frustratingly annoying,20,negative
fun dungeon,20,negative
fun frustrating,20,negative
fun wasting,20,negative
garbage worst,20,negative
greedy greedy,20,negative
grim dark,20,negative
hack hack,20,negative
horrible issues,20,negative
horrible lack,20,negative
immense lag,20,negative
incredibly overpriced,20,negative
inevitably die,20,negative
laggy poor,20,negative
loud obnoxious,20,negative
love killing,20,negative
love wasting,20,negative
lure enemies,20,negative
monotonous repetitive,20,negative
poor boring,20,negative
pretty addicting,20,negative
pretty arbitrary,20,negative
pretty chill,20,negative
pretty complicated,20,negative
proper fallout,20,negative
pure bad,20,negative
recommend waste,20,negative
refund shame,20,negative
repetitive slog,20,negative
ridiculously frustrating,20,negative
rockstar refuses,20,negative
sadly wasted,20,negative
severe depression,20,negative
shockingly poor,20,negative
sneak attacks,20,negative
stupid broken,20,negative
super complicated,20,negative
support issues,20,negative
terrible bug,20,negative
unbelievably hard,20,negative
unfinished crap,20,negative
unresolved issues,20,negative
utterly bland,20,negative
utterly confused,20,negative
utterly lacking,20,negative
weird noises,20,negative
wildly inaccurate,20,negative
worst worst,20,negative
worthless waste,20,negative
absurd difficulty,19,negative
absurdly bad,19,negative
absurdly hard,19,negative
annoying bad,19,negative
bad annoying,19,negative
bad evil,19,negative
bad hard,19,negative
bitterly dissapointed,19,negative
bland bland,19,negative
blatant false,19,negative
blatantly cheats,19,negative
boring worst,19,negative
broke loose,19,negative
broken trash,19,negative
bug issue,19,negative
buggy badly,19,negative
buggy crash,19,negative
cheap enemy,19,negative
cons dead,19,negative
crappy loot,19,negative
crippling bug,19,negative
critical strike,19,negative
damage damage,19,negative
damn broken,19,negative
damn cheap,19,negative
damn clunky,19,negative
depressingly bad,19,negative
freeze bug,19,negative
frustrating glitches,19,negative
frustratingly boring,19,negative
fun funny,19,negative
glitch glitch,19,negative
horrible glitches,19,negative
ignore enemies,19,negative
incredibly dark,19,negative
incredibly horrible,19,negative
incredibly pretentious,19,negative
incredibly toxic,19,negative
infuriating bugs,19,negative
isolated issue,19,negative
issues crashing,19,negative
laggy broken,19,negative
lame boring,19,negative
legendary difficulty,19,negative
love doom,19,negative
obnoxiously loud,19,negative
pretty cheesy,19,negative
pretty gross,19,negative
pretty monotonous,19,negative
pretty sloppy,19,negative
randomly killing,19,negative
refund denied,19,negative
refund worst,19,negative
rockstar sucks,19,negative
rubbish waste,19,negative
severe issue,19,negative
significant lag,19,negative
silent kill,19,negative
slow hard,19,negative
slow painful,19,negative
smoke bomb,19,negative
stress damage,19,negative
stupid issues,19,negative
super dark,19,negative
super dull,19,negative
super slowly,19,negative
super toxic,19,negative
terrible disappointment,19,negative
terrible enemies,19,negative
terribly flawed,19,negative
unknown enemy,19,negative
utterly atrocious,19,negative
utterly bad,19,negative
utterly garbage,19,negative
weak attack,19,negative
win boring,19,negative
absurdly expensive,18,negative
bad laggy,18,negative
bad stupid,18,negative
badly wrong,18,negative
boom dead,18,negative
boring simplistic,18,negative
buggy crashing,18,negative
buggy trash,18,negative
cheap boring,18,negative
cons crappy,18,negative
continuity errors,18,negative
crash errors,18,negative
crashes horrible,18,negative
crazy lag,18,negative
cute funny,18,negative
damn ugly,18,negative
damn useless,18,negative
damn waste,18,negative
dark cave,18,negative
disappointing mess,18,negative
dying slowly,18,negative
enemies bad,18,negative
enemies killing,18,negative
enjoy bad,18,negative
enjoy challenging,18,negative
fairly lengthy,18,negative
fatal bug,18,negative
fatal crashes,18,negative
fatal mistake,18,negative
fine cons,18,negative
freaking hate,18,negative
freaking terrible,18,negative
frustrating buggy,18,negative
frustrating tedious,18,negative
fun killer,18,negative
garbage trash,18,negative
glitches horrible,18,negative
horrible loot,18,negative
horrible slow,18,negative
imbalance issues,18,negative
incredible lack,18,negative
incredibly inconsistent,18,negative
incredibly loud,18,negative
incredibly overrated,18,negative
incredibly sloppy,18,negative
insane grind,18,negative
insanely broken,18,negative
invulnerable enemies,18,negative
issues lack,18,negative
joke bad,18,negative
killing bad,18,negative
lag horrible,18,negative
lags crashes,18,negative
mindless repetitive,18,negative
mindlessly grind,18,negative
monster killing,18,negative
nasty bug,18,negative
needlessly hard,18,negative
needlessly tedious,18,negative
notoriously bad,18,negative
poison cloud,18,negative
poor difficulty,18,negative
pretty choppy,18,negative
pretty complex,18,negative
pretty crazy,18,negative
pretty meaningless,18,negative
pretty nasty,18,negative
pretty unrealistic,18,negative
pure pain,18,negative
pure rage,18,negative
repetitive crap,18,negative
repetitive frustrating,18,negative
repetitive garbage,18,negative
ridiculous bugs,18,negative
rip overkill,18,negative
rockstar ruined,18,negative
sad waste,18,negative
sadly disappointing,18,negative
shame ding,18,negative
shame overkill,18,negative
silly plot,18,negative
slow awkward,18,negative
slowly slowly,18,negative
strictly worse,18,negative
stronger enemy,18,negative
stupidly annoying,18,negative
sucks boring,18,negative
sucks horrible,18,negative
super lag,18,negative
tedious annoying,18,negative
tediously boring,18,negative
variety cons,18,negative
violation error,18,negative
win mess,18,negative
worst garbage,18,negative
wrong enemy,18,negative
amazingly stupid,17,negative
anger frustration,17,negative
annoying crashes,17,negative
annoying waste,17,negative
annoyingly bad,17,negative
awesome sadly,17,negative
awful slow,17,negative
bad difficulty,17,negative
bad headache,17,negative
bad hell,17,negative
bad lazy,17,negative
bloody shame,17,negative
boring badly,17,negative
boring kill,17,negative
boring killing,17,negative
bother waste,17,negative
broken ugly,17,negative
bugs poorly,17,negative
cheap attacks,17,negative
cheap crap,17,negative
cons ugly,17,negative
cool bad,17,negative
crashes lags,17,negative
crashes terrible,17,negative
damn confusing,17,negative
enemy killed,17,negative
enjoy frustration,17,negative
enjoyed dark,17,negative
exceedingly frustrating,17,negative
fairly terrible,17,negative
fatally flawed,17,negative
frustrating bad,17,negative
frustrating slow,17,negative
fun shame,17,negative
funny glitches,17,negative
garbage bad,17,negative
glitches ruin,17,negative
gold threat,17,negative
hard dark,17,negative
hell boring,17,negative
hot trash,17,negative
incredibly badly,17,negative
incredibly monotonous,17,negative
incredibly restrictive,17,negative
inexcusably bad,17,negative
lag bug,17,negative
lag delay,17,negative
lag terrible,17,negative
mindless enemies,17,negative
mindless killing,17,negative
nice sadly,17,negative
notoriously difficult,17,negative
obsessive compulsive,17,negative
offensive defensive,17,negative
pitiful excuse,17,negative
plot cons,17,negative
plot sucks,17,negative
poor rip,17,negative
pretty frustrated,17,negative
pretty laughable,17,negative
pretty miserable,17,negative
pretty misleading,17,negative
pretty odd,17,negative
pretty painful,17,negative
pretty unfinished,17,negative
pretty unforgiving,17,negative
pros challenging,17,negative
recomend wasting,17,negative
repetitive kill,17,negative
repetitive shallow,17,negative
ridiculous waste,17,negative
sadly fails,17,negative
sincerely doubt,17,negative
slowly grind,17,negative
smoke weed,17,negative
spoiled brat,17,negative
sticky bomb,17,negative
stupid death,17,negative
stupid excuse,17,negative
stupid useless,17,negative
super blurry,17,negative
super challenging,17,negative
super mad,17,negative
support broken,17,negative
ugly clunky,17,negative
useless boring,17,negative
